,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,De Graafschap,38,25,8,5,88,41,83,20
1,2,VVV-Venlo,38,21,8,9,64,44,71,20
2,3,Roosendaal,38,20,10,8,82,44,70,20
3,4,FC Volendam,38,19,11,8,65,40,68,20
4,5,Den Bosch,38,20,8,10,65,43,68,20
5,6,FC Dordrecht,38,20,7,11,76,49,67,20
6,7,Go Ahead Eagles,38,16,9,13,56,51,57,20
7,8,Veendam,38,14,13,11,57,50,55,20
8,9,Zwolle,38,14,11,13,66,51,53,20
9,10,Telstar,38,14,6,18,61,61,48,20
10,11,FC Emmen,38,13,9,16,59,65,48,20
11,12,SC Cambuur,38,13,8,17,44,57,47,20
12,13,MVV,38,11,13,14,49,51,46,20
13,14,Haarlem,38,10,13,15,43,57,43,20
14,15,Fortuna Sittard,38,12,7,19,38,57,43,20
15,16,Almere City FC,38,11,8,19,55,82,41,20
16,17,TOP Oss,38,11,7,20,59,78,40,20
17,18,Helmond Sport,38,8,12,18,40,76,36,20
18,19,FC Eindhoven,38,7,12,19,47,80,33,20
19,20,AGOVV Apeldoorn,38,7,8,23,42,79,29,20
